name,name_bn,address,address_bn,established_year
"University of Dhaka","ঢাকা বিশ্ববিদ্যালয়","Dhaka, Bangladesh","ঢাকা, বাংলাদেশ",1921
"Bangladesh University of Professionals","বাংলাদেশ ইউনিভার্সিটি অব প্রফেশনালস","Dhaka, Bangladesh","ঢাকা, বাংলাদেশ",2008
"University of Rajshahi","রাজশাহী বিশ্ববিদ্যালয়","Rajshahi, Bangladesh","রাজশাহী, বাংলাদেশ",1953
"Jahangirnagar University","জাহাঙ্গীরনগর বিশ্ববিদ্যালয়","Savar, Dhaka, Bangladesh","সাভার, ঢাকা, বাংলাদেশ",1970
"Chittagong University","চট্টগ্রাম বিশ্ববিদ্যালয়","Chattogram, Bangladesh","চট্টগ্রাম, বাংলাদেশ",1966
"Bangladesh University of Engineering and Technology","বাংলাদেশ প্রকৌশল বিশ্ববিদ্যালয়","Dhaka, Bangladesh","ঢাকা, বাংলাদেশ",1962
