Medical College,University
"Chattagram International Dental College (CIDC), Chittagong",CMU
"Sapporo Dental College (SDC), Dhaka",DU
"City Dental College (CDC), Dhaka",DU
Rangpur Dental College (RDC),RMU
"Bangladesh Dental College (BDC), Dhaka",DU
"Marks Dental College (MDC), Dhaka",DU
"Saphena Women's Dental College (SWDC), Dhaka",DU
"Mandy Dental College (MDC), Dhaka",DU
"Udayan Dental College (UdDC), Rajshahi",RMU
"MH Samorita Medical College & Dental Unit (MHSMCDU), Dhaka",DU
"Kumudini Women's Medical College, Dental Unit (KWMCDU), Tangail",DU
Holy Family Red Crescent Medical College Dental Unit (HFRCMCDU),DU
"Gonoshasthaya Samajvittik Samaj Vittik Dental College (GSVMCDU), Savar",DU
"Ibrahim Medical College, Dental Unit (IMCDU), Dhaka",DU
Dhaka Community Medical College Hospital And Dental Unit (DCMCDU),DU
"Delta Medical College & Hospital Dental Unit (DLMCDU), Dhaka",DU
"Community Based Medical College, Bangladesh Dental Unit (CBMCDU), Mymensingh",DU
Dhaka National Medical College Dental Unit (DNMCDU),DU
Islami Bank Medical College Dental Unit (IBMCDU),RMU
Sylhet Central Dental College & General Hospital (SCDC),SMU
"Khawja Eunus Ali Medical College Dental Unit (KEAMCDU), Enayetpur",RMU
"North East Medical College Dental Unit (NEMCDU), Sylhet",SMU
