Name_En,Acronym,Name_Bn,University_Acronym,University
"Tairunnessa Memorial Medical College, Gazipur",TMMC,"তায়রুননেছা মেমোরিয়াল মেডিকেল কলেজ, গাজীপুর",DU,Dhaka University
"Ad-din Women's Medical College, Dhaka",AWMC,"আদ-দ্বীন উইমেন্স মেডিকেল কলেজ, ঢাকা",DU,Dhaka University
"International Medical College, Gazipur",IMC,"ইন্টারন্যাশনাল মেডিকেল কলেজ, গাজীপুর",DU,Dhaka University
"Central Medical College, Comilla",CEMEC,"সেন্ট্রাল মেডিকেল কলেজ, কুমিল্লা",CMU,Chittagong University
"BGC Trust Medical College, Chittagong",BGCTMC,"বিজিসি ট্রাস্ট মেডিকেল কলেজ, চট্টগ্রাম",CMU,Chittagong University
"Eastern Medical College, Comilla",EMC,"ইস্টার্ন মেডিকেল কলেজ, কুমিল্লা",CMU,Chittagong University
"Islami Bank Medical College, Rajshahi",IBMC,"ইসলামী ব্যাংক মেডিকেল কলেজ, রাজশাহী",RMU,Rajshahi University
"Khwaja Yunus Ali Medical College, Enayetpur",KYAMC,"খাজা ইউনুস আলী মেডিকেল কলেজ, এনায়েতপুর",RMU,Rajshahi University
"Jalalabad Ragib-Rabeya Medical College, Sylhet",JRRMC,"জালালাবাদ রাগীব-রাবেয়া মেডিকেল কলেজ, সিলেট",SMU,Sylhet Medical University
"East West Medical College, Dhaka",EWMC,"ইস্ট ওয়েস্ট মেডিকেল কলেজ, ঢাকা",DU,Dhaka University
"North East Medical College, Sylhet",NEMC,"নর্থ ইস্ট মেডিকেল কলেজ, সিলেট",SMU,Sylhet Medical University
"Chattagram Maa-O-Shishu Hospital Medical College, Agrabad",CMOSHMC,"চট্টগ্রাম মা-ও-শিশু হাসপাতাল মেডিকেল কলেজ, আগ্রাবাদ",CMU,Chittagong University
"Gonoshasthaya Samaj Vittik Medical College, Savar",GSVMC,"গণস্বাস্থ্য সমাজভিত্তিক মেডিকেল কলেজ, সাভার",DU,Dhaka University
"Institute of Applied Health Sciences, Chittagong",IAHS,"ইন্সটিটিউট অফ অ্যাপ্লায়েড হেলথ সায়েন্সেস, চট্টগ্রাম",CMU,Chittagong University
"North Bengal Medical College, Sirajganj",NBMC,"নর্থ বেঙ্গল মেডিকেল কলেজ, সিরাজগঞ্জ",RMU,Rajshahi University
"Prime Medical College, Rangpur",PMC,"প্রাইম মেডিকেল কলেজ, রংপুর",RMU,Rajshahi University
"Rangpur Community Medical College, Rangpur",RCMC,"রংপুর কমিউনিটি মেডিকেল কলেজ, রংপুর",RMU,Rajshahi University
"Delta Medical College, Dhaka",DLMC,"ডেল্টা মেডিকেল কলেজ, ঢাকা",DU,Dhaka University
"Southern Medical College, Chittagong",SMCH,"সাউদার্ন মেডিকেল কলেজ, চট্টগ্রাম",CMU,Chittagong University
"Anwer Khan Modern Medical College, Dhaka",AKMMC,"আনোয়ার খান মডার্ন মেডিকেল কলেজ, ঢাকা",DU,Dhaka University
"Ad-din Sakina Medical College, Jessore",ASMC,"আদ-দ্বীন সাকিনা মেডিকেল কলেজ, যশোর",KMU,Khulna Medical University
"Popular Medical College, Dhaka",PMC,"পপুলার মেডিকেল কলেজ, ঢাকা",DU,Dhaka University
"Green Life Medical College, Dhaka",GMCH,"গ্রিন লাইফ মেডিকেল কলেজ, ঢাকা",DU,Dhaka University
"Dhaka Community Medical College, Dhaka",DCMC,"ঢাকা কমিউনিটি মেডিকেল কলেজ, ঢাকা",DU,Dhaka University
"Sylhet Women's Medical College, Sylhet",SWMC,"সিলেট উইমেন্স মেডিকেল কলেজ, সিলেট",SMU,Sylhet Medical University
"Monno Medical College, Manikganj",MoMC,"মুন্নু মেডিকেল কলেজ, মানিকগঞ্জ",DU,Dhaka University
"MH Samorita Medical College, Dhaka",MHSMC,"এমএইচ শমরিতা মেডিকেল কলেজ, ঢাকা",DU,Dhaka University
"City Medical College, Gazipur",CiMC,"সিটি মেডিকেল কলেজ, গাজীপুর",DU,Dhaka University
"Marks Medical College, Dhaka",MarksMC,"মার্কস মেডিকেল কলেজ, ঢাকা",DU,Dhaka University
"Diabetic Association Medical College, Faridpur",DAMC,"ডায়াবেটিক অ্যাসোসিয়েশন মেডিকেল কলেজ, ফরিদপুর",DU,Dhaka University
"Barind Medical College, Rajshahi",BMC,"বারিন্দ মেডিকেল কলেজ, রাজশাহী",RMU,Rajshahi University
"Gazi Medical College, Khulna",GMC,"গাজী মেডিকেল কলেজ, খুলনা",KMU,Khulna Medical University
"Northern International Medical College, Dhaka",NIMC,"নর্দার্ন ইন্টারন্যাশনাল মেডিকেল কলেজ, ঢাকা",DU,Dhaka University
"Dr. Sirajul Islam Medical College, Dhaka",SIMC,"ডাঃ সিরাজুল ইসলাম মেডিকেল কলেজ, ঢাকা",DU,Dhaka University
"Mainamoti Medical College, Comulla",MMCH,"ময়নামতি মেডিকেল কলেজ, কুমিল্লা",CMU,Chittagong University
"Bikrampur Bhuiyan's Medical College, Munshiganj",BBMC,"বিক্রমপুর ভূঁইয়া মেডিকেল কলেজ, মুন্সীগঞ্জ",DU,Dhaka University
"Dhaka Central International Medical College, Dhaka",DCIMC,"ঢাকা সেন্ট্রাল ইন্টারন্যাশনাল মেডিকেল কলেজ, ঢাকা",DU,Dhaka University
"Ashiyan Medical College, Dhaka",AMC,"আশিয়ান মেডিকেল কলেজ, ঢাকা",DU,Dhaka University
"US-Bangla Medical College, Narayanganj",USBMC,"ইউএস-বাংলা মেডিকেল কলেজ, নারায়ণগঞ্জ",DU,Dhaka University
"President Abdul Hamid Medical College, Kishoreganj",PAHMC,"প্রেসিডেন্ট আবদুল হামিদ মেডিকেল কলেজ, কিশোরগঞ্জ",DU,Dhaka University
"Brahmanbaria Medical College, Brahmanbaria",BBMC,"ব্রাহ্মণবাড়িয়া মেডিকেল কলেজ, ব্রাহ্মণবাড়িয়া",CMU,Chittagong University
"Parkview Medical College, Sylhet",PMC,"পার্কভিউ মেডিকেল কলেজ, সিলেট",SMU,Sylhet Medical University
"Ad-Din Akij Medical College, Khulna",AAMC,"আদ-দ্বীন আকিজ মেডিকেল কলেজ, খুলনা",KMU,Khulna Medical University
"Monowara Sikder Medical College, Shariatpur",MSMC,"মনোয়ারা সিকদার মেডিকেল কলেজ, শরিয়তপুর",DU,Chittagong University
"Bashundhara Ad-din Medical College, Dhaka",BAMC,"বসুন্ধরা আদ-দ্বীন মেডিকেল কলেজ, ঢাকা",DU,Chittagong University
"Aichi Medical College, Dhaka",AIMC,"আইচি মেডিকেল কলেজ, ঢাকা",DU,Dhaka University
"Marine City Medical College, Chittagong",MCMC,"মেরিন সিটি মেডিকেল কলেজ, চট্টগ্রাম",CMU,Chittagong University
"Khulna City Medical College, Khulna",KCMC,"খুলনা সিটি মেডিকেল কলেজ, খুলনা",KMU,Khulna Medical University
"Chattagram International Medical College, Chittagong",CIMCH,"চট্টগ্রাম ইন্টারন্যাশনাল মেডিকেল কলেজ, চট্টগ্রাম",CMU,Chittagong University
"United Medical College, Dhaka",UnMC,"ইউনাইটেড মেডিকেল কলেজ, ঢাকা",DU,Dhaka University
"South Apollo Medical College, Barishal",SAMC,"সাউথ অ্যাপোলো মেডিকেল কলেজ, বরিশাল",DU,Dhaka University
"Ahsania Mission Medical College, Dhaka",AMMC,"আহসানিয়া মিশন মেডিকেল কলেজ, ঢাকা",DU,Dhaka University
"Asgar Ali Medical College, Dhaka",AAMC,"আজগর আলী মেডিকেল কলেজ, ঢাকা",DU,Dhaka University
Armed Forces Medical College,AFMC,আর্মড ফোর্সেস মেডিকেল কলেজ,BUP,Bangladesh University of Professionals
Army Medical College Bogura,AMCB,আর্মি মেডিকেল কলেজ বগুড়া,BUP,Bangladesh University of Professionals
"Army Medical College, Chittagong",AMCC,"আর্মি মেডিকেল কলেজ, চট্টগ্রাম",BUP,Bangladesh University of Professionals
Army Medical College Cumilla,AMCCu,আর্মি মেডিকেল কলেজ কুমিল্লা,BUP,Bangladesh University of Professionals
"Army Medical College, Jashore",AMCJ,"আর্মি মেডিকেল কলেজ, যশোর",BUP,Bangladesh University of Professionals
Rangpur Army Medical College,RAMC,রংপুর আর্মি মেডিকেল কলেজ,BUP,Bangladesh University of Professionals
"Bangladesh Navy Medical College, Chattogram",BNMCC,"বাংলাদেশ নৌবাহিনী মেডিকেল কলেজ, চট্টগ্রাম",BUP,Bangladesh University of Professionals
Dhaka Dental College,DDC,ঢাকা ডেন্টাল কলেজ,DU,Dhaka University
Chittagong Medical College Dental Unit,CMC,চট্টগ্রাম মেডিকেল কলেজ ডেন্টাল ইউনিট,CMU,Chittagong University
Rajshahi Medical College Dental Unit,RMC,রাজশাহী মেডিকেল কলেজ ডেন্টাল ইউনিট,RMU,Rajshahi University
